Company,Station Name,Code,Departure Station,Arrival Station,Departure Date,Arrival Date
TU,TU 606/07,607,Tunis,Madrid,2025-02-21T11:10,2025-02-21T13:20
TU,TU 606/07,606,Tunis,Madrid,2025-02-23T15:15,2025-02-23T17:20
TU,TU 606/07,607,Tunis,Madrid,2025-02-23T18:25,2025-02-23T20:35
TU,TU 606/07,606,Tunis,Madrid,2025-02-24T15:15,2025-02-24T17:20
TU,TU 606/07,607,Tunis,Madrid,2025-02-24T18:25,2025-02-24T20:30
TU,TU 606/07,606,Tunis,Madrid,2025-02-26T08:10,2025-02-26T10:15
TU,TU 606/07,607,Tunis,Madrid,2025-02-26T11:10,2025-02-26T13:20
TU,TU 606/07,606,Tunis,Madrid,2025-02-28T08:10,2025-02-28T10:15
TU,TU 606/07,607,Tunis,Madrid,2025-02-28T11:10,2025-02-28T13:20
TU,TU 606/07,606,Tunis,Madrid,2025-03-01T15:15,2025-03-01T17:20
TU,TU 606/07,607,Tunis,Madrid,2025-03-01T18:25,2025-03-01T20:35
TU,TU 606/07,606,Tunis,Madrid,2025-03-03T15:15,2025-03-03T17:20
TU,TU 606/07,607,Tunis,Madrid,2025-03-03T18:25,2025-03-03T20:30
TU,TU 606/07,606,Tunis,Madrid,2025-03-05T08:10,2025-03-05T10:15
TU,TU 606/07,607,Tunis,Madrid,2025-03-05T11:10,2025-03-05T13:20
TU,TU 606/07,606,Tunis,Madrid,2025-03-07T08:10,2025-03-07T10:15
TU,TU 606/07,607,Tunis,Madrid,2025-03-07T11:10,2025-03-07T13:20
